CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,270,61,330,320,2.601,35,i,10,0,302,18,0,0
CURclassMarker,1607,271,62,330,320,2.61,35,i,10,0,302,18,0,0
CURclassMarker,1607,272,62,330,320,2.619,35,i,10,0,302,18,0,0
CURclassMarker,1607,273,62,330,320,2.628,35,i,10,0,302,18,0,0
CURclassMarker,1607,274,62,330,320,2.637,35,i,10,0,302,18,0,0
CURclassMarker,1607,275,63,330,320,2.647,35,i,10,0,302,18,0,0
CURclassMarker,1607,276,63,330,320,2.658,35,i,10,0,302,18,0,0
CURclassMarker,1607,277,63,330,320,2.667,35,i,10,0,302,18,0,0
CURclassMarker,1607,278,63,330,320,2.676,35,i,10,0,302,18,0,0
CURclassMarker,1607,279,64,330,320,2.685,35,i,10,0,302,18,0,0
CURclassMarker,1607,280,64,330,320,2.694,35,i,10,0,302,18,0,0
CURclassMarker,1607,281,64,330,320,2.703,35,i,10,0,302,18,0,0
CURclassMarker,1607,282,64,330,320,2.712,35,i,10,0,302,18,0,0
CURclassMarker,1607,283,65,330,320,2.721,35,i,10,0,302,18,0,0
CURclassMarker,1607,284,65,330,320,2.73,36,i,10,0,302,18,0,0
CURclassMarker,1607,285,65,330,320,2.739,36,i,10,0,302,18,0,0
CURclassMarker,1607,286,65,330,320,2.749,36,i,10,0,302,18,0,0
CURclassMarker,1607,287,66,330,320,2.758,36,i,10,0,302,18,0,0
CURclassMarker,1607,288,66,330,320,2.767,36,i,10,0,302,18,0,0
CURclassMarker,1607,289,66,330,320,2.776,36,i,10,0,302,18,0,0
CURclassMarker,1607,290,66,330,320,2.785,36,i,10,0,302,18,0,0
CURclassMarker,1607,291,67,330,320,2.794,36,i,10,0,302,18,0,0
CURclassMarker,1607,292,67,330,320,2.804,36,i,10,0,302,18,0,0
CURclassMarker,1607,293,67,330,320,2.813,36,i,10,0,302,18,0,0
CURclassMarker,1607,294,67,330,320,2.822,36,i,10,0,302,18,0,0
CURclassMarker,1607,295,68,330,320,2.831,36,i,10,0,302,18,0,0
CURclassMarker,1607,296,68,330,320,2.849,36,i,10,0,302,18,0,0
CURclassMarker,1607,297,68,330,320,2.861,36,i,10,0,302,18,0,0
CURclassMarker,1607,298,68,330,320,2.87,36,i,10,0,302,18,0,0
CURclassMarker,1607,299,69,330,320,2.879,36,i,10,0,302,18,0,0
CURclassMarker,1607,300,69,330,320,2.888,36,i,10,0,302,18,0,0
CURclassMarker,1607,301,69,330,320,2.897,36,i,10,0,302,18,0,0
CURclassMarker,1607,302,69,330,320,2.908,36,i,10,0,302,18,0,0
CURclassMarker,1607,303,70,330,320,2.916,36,i,10,0,302,18,0,0
CURclassMarker,1607,304,70,330,320,2.925,36,i,10,0,302,18,0,0
